alignment;;;;;;;;;;;;;;;;;;;;;;;alignment;optional;optional_lim;;;;;;sort;optional;optional_lim;;strassen;optional;optional_lim
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;14876;13329;;;;;;16462;900000;17486;;14192;900000;17047
1;13235;14876;14827;13248;13329;14774;17941;17944;18964;17832;17947;19040;13249;13265;13421; ;;;;;;;;8315;13107;;;;;;;900000;11252;;;900000;9015
2;13235;8315;8330;13248;13107;8304;17941;17935;10600;17832;17608;10741;13249;11859;11921; ;;;;;;;;4592;12961;;;;;;;900000;7650;;;900000;4915
4;13235;4592;4809;13248;12961;4458;17941;17937;5755;17832;17476;5572;13249;5937;5953; ;;;;;;;;2699;3112;;;;;;;900000;6089;;;900000;3079
8;13235;2699;2645;13248;3112;2610;17941;17934;3161;17832;16612;3151;13249;2984;2984; ;;;;;;;;1516;8077;;;;;;;900000;6246;;;900000;2503
16;13235;1516;1528;13248;8077;1513;17941;17942;1907;17832;16004;1906;13249;1499;1499; ;;;;;;;;832;3909;;;;;;;900000;8418;;;900000;1819
32;13235;832;914;13248;3909;877;17941;17938;1084;17832;14891;1058;13249;765;781; ;;;;;;;;643;12149;;;;;;;900000;8366;;;900000;1931
64;13235;643;701;13248;12149;688;17941;17940;784;17832;15571;795;13249;765;781; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fft;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sort;strassen;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;1;0.941438865;0.832521851;;;;;;
1;692;900000;900000;691;54322;900000;1210;1253;900000;1260;900000;900000;1671;4468;900000; ;;;;;;;;;;;;;2;1.463028795;1.574265114;;;;;;
2;692;900000;900000;691;900000;900000;1210;1224;900000;1260;900000;900000;1671;6374;900000; ;;;;;;;;;;;;;4;2.151895425;2.887487284;;;;;;
4;692;900000;900000;691;169361;900000;1210;1234;900000;1260;900000;900000;1671;6656;900000; ;;;;;;;;;;;;;8;2.703563804;4.60928873;;;;;;
8;692;900000;900000;691;153412;900000;1210;1233;359745;1260;900000;900000;1671;6359;900000; ;;;;;;;;;;;;;16;2.635606788;5.669996005;;;;;;
16;692;900000;900000;691;900000;900000;1210;1236;415285;1260;900000;900000;1671;2593;900000; ;;;;;;;;;;;;;32;1.955571395;7.80208906;;;;;;
32;692;900000;900000;691;900000;900000;1210;1249;471209;1260;900000;900000;1671;5937;900000; ;;;;;;;;;;;;;64;1.967726512;7.349559814;;;;;;
64;692;900000;900000;691;900000;900000;1210;1220;479590;1260;900000;900000;1671;7078;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fib;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;678;900000;900000;599;834;900000;1295;1266;900000;1209;414;900000;1968;5484;900000; ;;;;;;;;;;;;;;;;;;;;;
2;678;900000;900000;599;1645;900000;1295;1265;900000;1209;718;900000;1968;4843;900000; ;;;;;;;;;;;;;;;;;;;;;
4;678;900000;900000;599;900000;900000;1295;1232;900000;1209;1008;900000;1968;2531;900000; ;;;;;;;;;;;;;;;;;;;;;
8;678;900000;900000;599;1910;900000;1295;1230;900000;1209;940;900000;1968;1406;900000; ;;;;;;;;;;;;;;;;;;;;;
16;678;900000;900000;599;3136;900000;1295;1278;900000;1209;1194;900000;1968;703;900000; ;;;;;;;;;;;;;;;;;;;;;
32;678;900000;900000;599;3588;900000;1295;1229;900000;1209;1764;900000;1968;906;900000; ;;;;;;;;;;;;;;;;;;;;;
64;678;900000;900000;599;3009;900000;1295;1249;900000;1209;1628;900000;1968;906;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
floorplan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;20526;900000;900000;20273;2;900000;28123;28859;458;28816;900000;518;44296;70218;900000; ;;;;;;;;;;;;;;;;;;;;;
2;20526;900000;900000;20273;2;900000;28123;28119;11241;28816;900000;10215;44296;64827;900000; ;;;;;;;;;;;;;;;;;;;;;
4;20526;900000;900000;20273;1;900000;28123;28030;8086;28816;900000;9550;44296;36984;900000; ;;;;;;;;;;;;;;;;;;;;;
8;20526;900000;900000;20273;2;900000;28123;28728;6735;28816;900000;7149;44296;42765;900000; ;;;;;;;;;;;;;;;;;;;;;
16;20526;900000;900000;20273;2;900000;28123;27909;8125;28816;900000;8082;44296;70906;900000; ;;;;;;;;;;;;;;;;;;;;;
32;20526;900000;900000;20273;3;900000;28123;28575;9963;28816;900000;9361;44296;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
64;20526;900000;900000;20273;5;900000;28123;29417;9010;28816;900000;9076;44296;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
health;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;13442;900000;900000;14000;261;900000;18493;18530;59107;18373;252;59468;20328;42796;900000; ;;;;;;;;;;;;;;;;;;;;;
2;13442;900000;900000;14000;900000;900000;18493;18412;900000;18373;900000;900000;20328;39062;900000; ;;;;;;;;;;;;;;;;;;;;;
4;13442;900000;900000;14000;900000;900000;18493;18392;900000;18373;900000;900000;20328;19703;900000; ;;;;;;;;;;;;;;;;;;;;;
8;13442;900000;900000;14000;900000;900000;18493;19297;900000;18373;900000;900000;20328;10468;900000; ;;;;;;;;;;;;;;;;;;;;;
16;13442;900000;900000;14000;900000;900000;18493;18811;900000;18373;900000;900000;20328;5937;900000; ;;;;;;;;;;;;;;;;;;;;;
32;13442;900000;900000;14000;900000;900000;18493;18917;900000;18373;900000;900000;20328;9624;900000; ;;;;;;;;;;;;;;;;;;;;;
64;13442;900000;900000;14000;900000;900000;18493;18829;900000;18373;900000;900000;20328;11281;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
intersim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;47;900000;900000;47;900000;900000;53;53;199;54;900000;165;140;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
2;47;900000;900000;47;900000;900000;53;53;1337;54;900000;1280;140;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
4;47;900000;900000;47;900000;900000;53;52;1092;54;900000;1196;140;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
8;47;900000;900000;47;900000;900000;53;52;858;54;900000;883;140;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
16;47;900000;900000;47;900000;900000;53;53;1172;54;900000;1117;140;46;900000; ;;;;;;;;;;;;;;;;;;;;;
32;47;900000;900000;47;900000;900000;53;53;1413;54;900000;1386;140;62;900000; ;;;;;;;;;;;;;;;;;;;;;
64;47;900000;900000;47;900000;900000;53;52;1288;54;900000;1349;140;78;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nqueens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;8141;900000;900000;8047;900000;900000;9134;9298;900000;9523;900000;900000;18437;25015;900000; ;;;;;;;;;;;;;;;;;;;;;
2;8141;900000;900000;8047;900000;900000;9134;9142;900000;9523;900000;900000;18437;22171;900000; ;;;;;;;;;;;;;;;;;;;;;
4;8141;900000;900000;8047;900000;900000;9134;9161;900000;9523;900000;900000;18437;11296;900000; ;;;;;;;;;;;;;;;;;;;;;
8;8141;900000;900000;8047;900000;900000;9134;9359;900000;9523;900000;900000;18437;5812;900000; ;;;;;;;;;;;;;;;;;;;;;
16;8141;900000;900000;8047;900000;900000;9134;9278;900000;9523;900000;900000;18437;3156;900000; ;;;;;;;;;;;;;;;;;;;;;
32;8141;900000;900000;8047;900000;900000;9134;9295;900000;9523;900000;900000;18437;4578;900000; ;;;;;;;;;;;;;;;;;;;;;
64;8141;900000;900000;8047;900000;900000;9134;9179;900000;9523;900000;900000;18437;4593;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pyramids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;20018;900000;900000;19830;24040;900000;19804;19784;29403;19604;24628;29327;13390;13578;99655; ;;;;;;;;;;;;;;;;;;;;;
2;20018;20493;20217;19830;17790;20434;19804;19803;20162;19604;900000;20241;13390;13031;78585; ;;;;;;;;;;;;;;;;;;;;;
4;20018;13130;12990;19830;12011;13287;19804;19808;14148;19604;13337;14345;13390;6828;28933; ;;;;;;;;;;;;;;;;;;;;;
8;20018;11063;11322;19830;10184;11268;19804;19804;11763;19604;10295;11802;13390;3718;12885; ;;;;;;;;;;;;;;;;;;;;;
16;20018;12454;12197;19830;11195;12158;19804;19913;12073;19604;11354;12109;13390;2234;7515; ;;;;;;;;;;;;;;;;;;;;;
32;20018;14517;14524;19830;13302;14276;19804;19824;14109;19604;12878;14055;13390;2156;36562; ;;;;;;;;;;;;;;;;;;;;;
64;20018;15003;14985;19830;13710;15105;19804;19809;14013;19604;13147;14360;13390;2468;49468; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
