
alignment
#Cores ;              async ms ;          async stddev ; 
    1 ;               18090.0 ;              0.894427 ; 
    2 ;                9058.0 ;               1.34164 ; 
    4 ;                4533.0 ;                   2.0 ; 
    8 ;                2269.0 ;               1.89737 ; 
   16 ;                1147.0 ;               2.79285 ; 
   32 ;                 577.0 ;               2.66458 ; 
   64 ;                 465.0 ;               3.54965 ; 

fib
#Cores ;              async ms ;          async stddev ; 
    1 ;                900000 ;                900000 ; 
    2 ;                900000 ;                900000 ; 
    4 ;                900000 ;                900000 ; 
    8 ;                900000 ;                900000 ; 
   16 ;                900000 ;                900000 ; 
   32 ;                900000 ;                900000 ; 
   64 ;                900000 ;                900000 ; 

floorplan
#Cores ;              async ms ;          async stddev ; 
    1 ;               20102.0 ;               11.5585 ; 
    2 ;               13291.0 ;               11.8406 ; 
    4 ;               10979.0 ;               7.87401 ; 
    8 ;               10654.0 ;               7.84219 ; 
   16 ;               22609.0 ;               15.1658 ; 
   32 ;               21355.0 ;               12.1655 ; 
   64 ;               17821.0 ;               12.6095 ; 

health
#Cores ;              async ms ;          async stddev ; 
    1 ;                9489.0 ;               45.0489 ; 
    2 ;                5348.0 ;               36.9364 ; 
    4 ;                3782.0 ;               33.5529 ; 
    8 ;                2631.0 ;               41.9881 ; 
   16 ;                4123.0 ;               6.55744 ; 
   32 ;                7834.0 ;               10.7517 ; 
   64 ;                6736.0 ;               19.8972 ; 

nqueens
#Cores ;              async ms ;          async stddev ; 
    1 ;                8434.0 ;              0.894427 ; 
    2 ;                5586.0 ;               2.98329 ; 
    4 ;                3247.0 ;               9.06642 ; 
    8 ;                2057.0 ;               5.05964 ; 
   16 ;                1664.0 ;               5.99166 ; 
   32 ;                1336.0 ;                4.9295 ; 
   64 ;                1104.0 ;               3.88587 ; 

qap
#Cores ;              async ms ;          async stddev ; 
    1 ;                9802.0 ;               2.16795 ; 
    2 ;                7550.0 ;               23.5499 ; 
    4 ;                8551.0 ;               32.1621 ; 
    8 ;               14251.0 ;               39.1778 ; 
   16 ;               60977.0 ;               103.724 ; 
   32 ;                900000 ;                900000 ; 
   64 ;               57420.0 ;               87.2972 ; 

sort
#Cores ;              async ms ;          async stddev ; 
    1 ;               16081.0 ;               8.61394 ; 
    2 ;                8070.0 ;               11.5152 ; 
    4 ;                4430.0 ;               15.1921 ; 
    8 ;                2385.0 ;                 17.72 ; 
   16 ;                1726.0 ;               11.1265 ; 
   32 ;                1283.0 ;               7.13442 ; 
   64 ;                1104.0 ;               6.77495 ; 

sparselu
#Cores ;              async ms ;          async stddev ; 
    1 ;               12570.0 ;               2.12132 ; 
    2 ;                6410.0 ;               1.48324 ; 
    4 ;                3237.0 ;              0.707107 ; 
    8 ;                1657.0 ;              0.447214 ; 
   16 ;                 871.0 ;               1.76068 ; 
   32 ;                 491.0 ;               1.54919 ; 
   64 ;                 457.0 ;               2.64575 ; 

strassen
#Cores ;              async ms ;          async stddev ; 
    1 ;               16900.0 ;               3.03315 ; 
    2 ;                8684.0 ;               6.41872 ; 
    4 ;                5207.0 ;               6.46529 ; 
    8 ;                3168.0 ;               6.13188 ; 
   16 ;                2276.0 ;               3.89872 ; 
   32 ;                2092.0 ;               10.1538 ; 
   64 ;                2620.0 ;               11.4978 ; 

pyramids
#Cores ;              async ms ;          async stddev ; 
    1 ;               19299.0 ;               14.8358 ; 
    2 ;               10671.0 ;               11.6833 ; 
    4 ;                5739.0 ;               8.79773 ; 
    8 ;                3318.0 ;               10.9179 ; 
   16 ;                4442.0 ;               18.8521 ; 
   32 ;               10776.0 ;               28.0303 ; 
   64 ;               10026.0 ;               34.8898 ; 

uts
#Cores ;              async ms ;          async stddev ; 
    1 ;               10890.0 ;               1.89737 ; 
    2 ;               12410.0 ;               25.7992 ; 
    4 ;                8658.0 ;               2.52982 ; 
    8 ;                5573.0 ;               2.72029 ; 
   16 ;                6814.0 ;               5.14782 ; 
   32 ;               17021.0 ;               16.0997 ; 
   64 ;                8919.0 ;               8.62554 ; 
