
alignment
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;               13467.0 ;              0.447214 ; 
    2 ;                6765.0 ;              0.894427 ; 
    4 ;                3385.0 ;              0.447214 ; 
    8 ;                1694.0 ;              0.632456 ; 
   16 ;                 854.0 ;               1.04881 ; 
   32 ;                 649.0 ;               2.94958 ; 
   64 ;                1885.0 ;               8.09321 ; 

fib
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;                900000 ;                900000 ; 
    2 ;                900000 ;                900000 ; 
    4 ;               79053.0 ;               12.7906 ; 
    8 ;               39832.0 ;               5.93296 ; 
   16 ;               19812.0 ;                5.6921 ; 
   32 ;                9976.0 ;               18.1328 ; 
   64 ;                8565.0 ;               6.26897 ; 

floorplan
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;               19037.0 ;               16.8908 ; 
    2 ;               40829.0 ;               52.5186 ; 
    4 ;               29807.0 ;               14.1209 ; 
    8 ;               26963.0 ;               4.60435 ; 
   16 ;               26899.0 ;               4.20714 ; 
   32 ;               26675.0 ;                5.5857 ; 
   64 ;               21175.0 ;                5.4037 ; 

health
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;                9947.0 ;               6.12372 ; 
    2 ;                6744.0 ;                7.1624 ; 
    4 ;                4560.0 ;               4.71169 ; 
    8 ;                2538.0 ;               4.15933 ; 
   16 ;                1848.0 ;                   3.0 ; 
   32 ;                2315.0 ;               4.41588 ; 
   64 ;                5824.0 ;               10.4307 ; 

nqueens
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;                8647.0 ;               3.25576 ; 
    2 ;                5160.0 ;               4.04969 ; 
    4 ;                2603.0 ;               2.34521 ; 
    8 ;                1303.0 ;              0.774597 ; 
   16 ;                 655.0 ;              0.894427 ; 
   32 ;                 333.0 ;               4.85798 ; 
   64 ;                 319.0 ;               5.49545 ; 

qap
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;               15342.0 ;               2.23607 ; 
    2 ;                8683.0 ;               20.4817 ; 
    4 ;               23394.0 ;               48.1819 ; 
    8 ;               26910.0 ;               39.0308 ; 
   16 ;                2538.0 ;               15.9875 ; 
   32 ;                 560.0 ;               6.70075 ; 
   64 ;                 436.0 ;               5.93296 ; 

sort
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;               16230.0 ;               4.15933 ; 
    2 ;                8169.0 ;               2.23607 ; 
    4 ;                4127.0 ;               2.36643 ; 
    8 ;                2130.0 ;               1.94936 ; 
   16 ;                1209.0 ;               3.19374 ; 
   32 ;                 840.0 ;               2.94958 ; 
   64 ;                 821.0 ;               4.89898 ; 

sparselu
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;               12633.0 ;               1.73205 ; 
    2 ;                6385.0 ;               2.19089 ; 
    4 ;                3247.0 ;               0.83666 ; 
    8 ;                1679.0 ;               1.04881 ; 
   16 ;                 938.0 ;                1.3784 ; 
   32 ;                1888.0 ;               4.89898 ; 
   64 ;                4406.0 ;               17.5271 ; 

strassen
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;               16072.0 ;               2.34521 ; 
    2 ;                8679.0 ;               7.24569 ; 
    4 ;                4435.0 ;                8.5557 ; 
    8 ;                2530.0 ;               6.97137 ; 
   16 ;                1458.0 ;               6.60303 ; 
   32 ;                1127.0 ;                 8.544 ; 
   64 ;                1688.0 ;               12.7828 ; 

pyramids
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;               42251.0 ;                   2.0 ; 
    2 ;               21316.0 ;               2.16795 ; 
    4 ;               10961.0 ;               3.01662 ; 
    8 ;                6029.0 ;               2.38747 ; 
   16 ;                3784.0 ;                   3.0 ; 
   32 ;                3893.0 ;               6.58787 ; 
   64 ;               12829.0 ;               49.0133 ; 

uts
#Cores ;               cilk ms ;           cilk stddev ; 
    1 ;                900000 ;                900000 ; 
    2 ;                900000 ;                900000 ; 
    4 ;                900000 ;                900000 ; 
    8 ;                900000 ;                900000 ; 
   16 ;                900000 ;                900000 ; 
   32 ;                900000 ;                900000 ; 
   64 ;                900000 ;                900000 ; 
