
alignment
#Cores ;              parec ms ;          parec stddev ; 
    1 ;               18084.0 ;               1.18322 ; 
    2 ;                9059.0 ;              0.774597 ; 
    4 ;                4545.0 ;               2.86356 ; 
    8 ;                2270.0 ;               1.26491 ; 
   16 ;                1144.0 ;               1.14018 ; 
   32 ;                 577.0 ;               2.21359 ; 
   64 ;                 447.0 ;               3.36155 ; 

fib
#Cores ;              parec ms ;          parec stddev ; 
    1 ;               10126.0 ;               1.64317 ; 
    2 ;                5065.0 ;               14.6458 ; 
    4 ;                2530.0 ;               6.34035 ; 
    8 ;                1286.0 ;               4.96991 ; 
   16 ;                 647.0 ;               7.47663 ; 
   32 ;                 911.0 ;               14.0036 ; 
   64 ;                 664.0 ;                17.782 ; 

floorplan
#Cores ;              parec ms ;          parec stddev ; 
    1 ;               19598.0 ;               2.72029 ; 
    2 ;               16477.0 ;                24.164 ; 
    4 ;               13443.0 ;               26.2983 ; 
    8 ;               12463.0 ;               16.9263 ; 
   16 ;               25696.0 ;                30.239 ; 
   32 ;               24189.0 ;               24.4806 ; 
   64 ;               21977.0 ;               39.1701 ; 

health
#Cores ;              parec ms ;          parec stddev ; 
    1 ;                9125.0 ;               45.2338 ; 
    2 ;                5164.0 ;               36.8917 ; 
    4 ;                2993.0 ;               34.7764 ; 
    8 ;                1843.0 ;               43.3336 ; 
   16 ;                2224.0 ;               4.89898 ; 
   32 ;                2522.0 ;               13.9964 ; 
   64 ;                2962.0 ;               25.2547 ; 

nqueens
#Cores ;              parec ms ;          parec stddev ; 
    1 ;                8213.0 ;              0.316228 ; 
    2 ;                5195.0 ;               5.02991 ; 
    4 ;                2539.0 ;               2.82843 ; 
    8 ;                1296.0 ;               4.88876 ; 
   16 ;                 681.0 ;               6.46529 ; 
   32 ;                 834.0 ;               16.4499 ; 
   64 ;                1708.0 ;               26.0538 ; 

qap
#Cores ;              parec ms ;          parec stddev ; 
    1 ;                6456.0 ;              0.316228 ; 
    2 ;                4089.0 ;               13.6382 ; 
    4 ;                1758.0 ;               11.9415 ; 
    8 ;                2491.0 ;               18.0388 ; 
   16 ;                7391.0 ;               33.6289 ; 
   32 ;                7873.0 ;               43.9409 ; 
   64 ;                9527.0 ;               48.2245 ; 

sort
#Cores ;              parec ms ;          parec stddev ; 
    1 ;               16064.0 ;               8.15475 ; 
    2 ;                8025.0 ;                11.393 ; 
    4 ;                4042.0 ;               14.8088 ; 
    8 ;                2121.0 ;               17.2858 ; 
   16 ;                1415.0 ;               14.4914 ; 
   32 ;                1244.0 ;               10.8167 ; 
   64 ;                 856.0 ;               14.8829 ; 

sparselu
#Cores ;              parec ms ;          parec stddev ; 
    1 ;               12630.0 ;               1.92354 ; 
    2 ;                6399.0 ;               1.18322 ; 
    4 ;                3234.0 ;              0.632456 ; 
    8 ;                1655.0 ;              0.547723 ; 
   16 ;                 871.0 ;               1.54919 ; 
   32 ;                 491.0 ;               1.78885 ; 
   64 ;                 458.0 ;               2.60768 ; 

strassen
#Cores ;              parec ms ;          parec stddev ; 
    1 ;               16828.0 ;               2.64575 ; 
    2 ;                8367.0 ;               10.5641 ; 
    4 ;                4638.0 ;               6.79706 ; 
    8 ;                2615.0 ;               2.77489 ; 
   16 ;                1851.0 ;               8.93308 ; 
   32 ;                1531.0 ;               7.51665 ; 
   64 ;                2412.0 ;                13.784 ; 

pyramids
#Cores ;              parec ms ;          parec stddev ; 
    1 ;               19612.0 ;               1.34164 ; 
    2 ;               11048.0 ;               4.61519 ; 
    4 ;                5800.0 ;                4.4833 ; 
    8 ;                3443.0 ;               8.39643 ; 
   16 ;                4560.0 ;                17.225 ; 
   32 ;                9994.0 ;               30.6007 ; 
   64 ;               11013.0 ;               34.8769 ; 

uts
#Cores ;              parec ms ;          parec stddev ; 
    1 ;                9448.0 ;              0.894427 ; 
    2 ;                9939.0 ;               6.52687 ; 
    4 ;                9908.0 ;               4.14729 ; 
    8 ;                9762.0 ;               9.84886 ; 
   16 ;                9849.0 ;               9.88433 ; 
   32 ;                9917.0 ;               10.6818 ; 
   64 ;               17514.0 ;               23.0976 ; 
